Designator,Manufacturer Part Number,Quantity
U1,AMC1100DWV,1
C19,GRM155R71H103KA88D,1
"C2,C6,C20,C16,C15,C17,C14,C18,C8,C13",CC0402KRX7R8BB104,10
"C1,C5",CC0603KRX7R7BB104,2
"C10,C11,C12",CC0603ZRY5V7BB105,3
"C4,C7",GRM21BR61A226ME51L,2
"C9,C3",CL32F106ZAHNNNE,2
U2,FOX924B-12.000,1
F1,0466.125NR,1
F2,RSTA 1 BULK,1
L1,LQM2HPN1R0MJHL,1
PSU1,IRM-15-5,1
U3,ISL21010CFH333Z-TK,1
"D1,D2,D3",150060GS75000,3
REG1,AP2120N-3.3TRG1,1
"R6,R7",RC0402JR-0710KL,2
R5,RC0402FR-0730K9L,1
"R3,R8,R9,R4",RC1005F6650CS,4
"R13,R12,R11",RMCF0402JT68R0,3
R2,CMF551K0000BHEB,1
R1,CMF551M0000BHEB,1
J3,PPTC202LJBN-RC,1
U5,STM32F373CCT6,1
"J1,J2",1217861-1,2
RV1,B72214S0351K101,1
PSU2,ADUM5010ARSZ,1
